Timestamp,Audio,Temperature(C),Humidity(%),Pressure(Pa),Oxygen(%),HeartRate(BPM)
2025-02-20 23:58:58,265,26.33,74.09,0.0,0.0,0.0
2025-02-20 23:58:58,262,26.34,74.17,0.0,0.0,0.0
2025-02-20 23:58:58,259,26.34,74.1,0.0,0.0,0.0
2025-02-20 23:58:58,265,26.34,74.14,0.0,0.0,0.0
2025-02-20 23:58:58,269,26.31,74.09,0.0,0.0,0.0
2025-02-20 23:58:58,269,26.33,74.07,0.0,0.0,0.0
2025-02-20 23:58:58,262,26.3,74.0,0.0,0.0,0.0
2025-02-20 23:58:58,265,26.33,74.08,0.0,0.0,0.0
2025-02-20 23:58:58,267,26.34,74.07,0.0,0.0,0.0
2025-02-20 23:58:58,253,26.32,74.09,0.0,0.0,0.0
2025-02-20 23:58:58,260,26.32,74.02,0.0,0.0,0.0
2025-02-20 23:58:58,263,26.33,74.02,0.0,0.0,0.0
2025-02-20 23:58:58,262,26.33,74.0,0.0,0.0,0.0
2025-02-20 23:58:58,266,26.33,73.93,0.0,0.0,0.0
2025-02-20 23:58:58,268,26.34,73.96,0.0,0.0,0.0
2025-02-20 23:58:58,269,26.32,73.89,0.0,0.0,0.0
2025-02-20 23:58:59,271,26.29,73.89,0.0,0.0,0.0
2025-02-20 23:58:59,270,26.32,73.91,0.0,0.0,0.0
2025-02-20 23:58:59,269,26.33,73.85,0.0,0.0,0.0
2025-02-20 23:58:59,271,26.32,73.79,0.0,0.0,0.0
2025-02-20 23:58:59,272,26.32,73.84,0.0,0.0,0.0
2025-02-20 23:58:59,272,26.32,73.78,0.0,0.0,0.0
2025-02-20 23:58:59,270,26.31,73.79,0.0,0.0,0.0
2025-02-20 23:58:59,271,26.33,73.75,0.0,0.0,0.0
2025-02-20 23:58:59,273,26.32,73.76,0.0,0.0,0.0
2025-02-20 23:58:59,272,26.32,73.73,0.0,0.0,0.0
2025-02-20 23:58:59,272,26.31,73.72,0.0,0.0,0.0
2025-02-20 23:58:59,262,26.32,73.63,0.0,0.0,0.0
2025-02-20 23:58:59,272,26.3,73.58,0.0,0.0,0.0
2025-02-20 23:58:59,277,26.33,73.62,0.0,0.0,0.0
2025-02-20 23:58:59,270,26.31,73.56,0.0,0.0,0.0
2025-02-20 23:58:59,274,26.31,73.57,0.0,0.0,0.0
2025-02-20 23:58:59,270,26.31,73.53,0.0,0.0,0.0
2025-02-20 23:58:59,272,26.3,73.55,0.0,0.0,0.0
2025-02-20 23:58:59,266,26.31,73.61,0.0,0.0,0.0
2025-02-20 23:58:59,271,26.31,73.55,0.0,0.0,0.0
2025-02-20 23:58:59,272,26.29,73.51,0.0,0.0,0.0
2025-02-20 23:58:59,269,26.3,73.56,0.0,0.0,0.0
2025-02-20 23:58:59,268,26.3,73.48,0.0,0.0,0.0
2025-02-20 23:58:59,272,26.28,73.47,0.0,0.0,0.0
2025-02-20 23:58:59,272,26.28,73.54,0.0,0.0,0.0
2025-02-20 23:58:59,272,26.3,73.52,0.0,0.0,0.0
2025-02-20 23:58:59,270,26.3,73.58,0.0,0.0,0.0
2025-02-20 23:58:59,272,26.3,73.53,0.0,0.0,0.0
2025-02-20 23:58:59,272,26.31,73.44,0.0,0.0,0.0
2025-02-20 23:58:59,272,26.31,73.44,0.0,0.0,0.0
2025-02-20 23:59:00,272,26.3,73.37,0.0,0.0,0.0
2025-02-20 23:59:00,273,26.3,73.36,0.0,0.0,0.0
2025-02-20 23:59:00,277,26.3,73.35,0.0,0.0,0.0
2025-02-20 23:59:00,272,26.31,73.36,0.0,0.0,0.0
2025-02-20 23:59:00,272,26.31,73.3,0.0,0.0,0.0
2025-02-20 23:59:00,271,26.28,73.27,0.0,0.0,0.0
2025-02-20 23:59:00,272,26.28,73.23,0.0,0.0,0.0
2025-02-20 23:59:00,275,26.28,73.25,0.0,0.0,0.0
2025-02-20 23:59:00,272,26.31,73.12,0.0,0.0,0.0
2025-02-20 23:59:00,268,26.31,73.12,0.0,0.0,0.0
2025-02-20 23:59:00,265,26.28,73.14,0.0,0.0,0.0
2025-02-20 23:59:00,266,26.29,73.14,0.0,0.0,0.0
2025-02-20 23:59:00,272,26.27,72.96,0.0,0.0,0.0
2025-02-20 23:59:00,267,26.27,72.96,0.0,0.0,0.0
2025-02-20 23:59:00,269,26.28,72.97,0.0,0.0,0.0
2025-02-20 23:59:00,270,26.28,72.98,0.0,0.0,0.0
2025-02-20 23:59:00,269,26.28,72.97,0.0,0.0,0.0
2025-02-20 23:59:00,268,26.29,72.97,0.0,0.0,0.0
2025-02-20 23:59:00,272,26.28,72.93,0.0,0.0,0.0
2025-02-20 23:59:00,274,26.29,72.91,0.0,0.0,0.0
2025-02-20 23:59:01,275,26.27,72.83,0.0,0.0,0.0
2025-02-20 23:59:01,278,26.28,72.81,0.0,0.0,0.0
2025-02-20 23:59:01,273,26.28,72.85,0.0,0.0,0.0
2025-02-20 23:59:01,277,26.28,72.8,0.0,0.0,0.0
2025-02-20 23:59:01,275,26.28,72.74,0.0,0.0,0.0
2025-02-20 23:59:01,274,26.28,72.74,0.0,0.0,0.0
2025-02-20 23:59:01,279,26.28,72.71,0.0,0.0,0.0
2025-02-20 23:59:01,286,26.27,72.65,0.0,0.0,0.0
2025-02-20 23:59:01,275,26.27,72.62,0.0,0.0,0.0
2025-02-20 23:59:01,277,26.29,72.65,0.0,0.0,0.0
2025-02-20 23:59:01,273,26.25,72.61,0.0,0.0,0.0
2025-02-20 23:59:01,275,26.27,72.69,0.0,0.0,0.0
2025-02-20 23:59:01,275,26.25,72.64,0.0,0.0,0.0
2025-02-20 23:59:01,276,26.25,72.56,0.0,0.0,0.0
2025-02-20 23:59:01,274,26.26,72.54,0.0,0.0,0.0
2025-02-20 23:59:01,272,26.25,72.55,0.0,0.0,0.0
2025-02-20 23:59:01,276,26.27,72.58,0.0,0.0,0.0
2025-02-20 23:59:01,272,26.28,72.5,0.0,0.0,0.0
2025-02-20 23:59:01,269,26.27,72.5,0.0,0.0,0.0
2025-02-20 23:59:01,271,26.27,72.44,0.0,0.0,0.0
2025-02-20 23:59:01,267,26.24,72.47,0.0,0.0,0.0
2025-02-20 23:59:01,275,26.25,72.46,0.0,0.0,0.0
2025-02-20 23:59:01,270,26.24,72.4,0.0,0.0,0.0
2025-02-20 23:59:01,269,26.24,72.46,0.0,0.0,0.0
2025-02-20 23:59:01,268,26.26,72.42,0.0,0.0,0.0
2025-02-20 23:59:01,262,26.26,72.37,0.0,0.0,0.0
2025-02-20 23:59:01,269,26.24,72.33,0.0,0.0,0.0
2025-02-20 23:59:02,266,26.26,72.31,0.0,0.0,0.0
2025-02-20 23:59:02,272,26.26,72.32,0.0,0.0,0.0
2025-02-20 23:59:02,270,26.24,72.2,0.0,0.0,0.0
2025-02-20 23:59:02,268,26.23,72.21,0.0,0.0,0.0
2025-02-20 23:59:02,271,26.23,72.18,0.0,0.0,0.0
2025-02-20 23:59:02,270,26.23,72.13,0.0,0.0,0.0
2025-02-20 23:59:02,269,26.25,72.08,0.0,0.0,0.0
2025-02-20 23:59:02,268,26.24,72.04,0.0,0.0,0.0
2025-02-20 23:59:02,272,26.23,72.01,0.0,0.0,0.0
2025-02-20 23:59:02,274,26.24,72.0,0.0,0.0,0.0
2025-02-20 23:59:02,267,26.24,71.94,0.0,0.0,0.0
2025-02-20 23:59:02,267,26.21,71.94,0.0,0.0,0.0
2025-02-20 23:59:02,272,26.23,71.89,0.0,0.0,0.0
